Flname,FnName,Art,Max,Unq,Len,OT,Class,ObfStat
7_1_5_constant_char_0_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_5_constant_char_0_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_5_constant_char_0_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_5_constant_char_0_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_5_constant_char_0_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_5_constant_char_0_aaa.prob3,main,672.072982629,8.51844596613,19,248,1,aaa,obfs
7_1_5_constant_char_0_aaa.prob3,function_1,1072.30992015,9.66291785791,21,277,6,aaa,obfs
7_1_5_constant_char_0_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_5_constant_char_0_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_5_constant_char_0_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_4_constant_short_3_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_4_constant_short_3_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_4_constant_short_3_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_4_constant_short_3_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_4_constant_short_3_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_4_constant_short_3_aaa.prob3,main,672.072982629,8.51844596613,19,248,1,aaa,obfs
7_1_4_constant_short_3_aaa.prob3,function_1,1866.42143662,9.66291785791,26,445,8,aaa,obfs
7_1_4_constant_short_3_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_4_constant_short_3_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_4_constant_short_3_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_0_constant_int_3_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_0_constant_int_3_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_0_constant_int_3_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_0_constant_int_3_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_0_constant_int_3_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_0_constant_int_3_aaa.prob3,main,655.048374555,8.51844596613,19,247,1,aaa,obfs
7_1_0_constant_int_3_aaa.prob3,function_1,1101.60883005,9.66291785791,27,303,9,aaa,obfs
7_1_0_constant_int_3_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_0_constant_int_3_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_0_constant_int_3_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_4_boundedInput_char_1_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_4_boundedInput_char_1_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_4_boundedInput_char_1_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_4_boundedInput_char_1_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_4_boundedInput_char_1_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_4_boundedInput_char_1_aaa.prob3,main,672.072982629,8.51844596613,19,248,1,aaa,obfs
7_2_4_boundedInput_char_1_aaa.prob3,function_1,1150.95318896,9.66291785791,25,289,6,aaa,obfs
7_2_4_boundedInput_char_1_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_4_boundedInput_char_1_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_4_boundedInput_char_1_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_0_boundedInput_short_0_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_0_boundedInput_short_0_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_0_boundedInput_short_0_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_0_boundedInput_short_0_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_0_boundedInput_short_0_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_0_boundedInput_short_0_aaa.prob3,main,672.072982629,8.51844596613,19,248,1,aaa,obfs
7_2_0_boundedInput_short_0_aaa.prob3,function_1,1065.95760413,9.66291785791,20,275,6,aaa,obfs
7_2_0_boundedInput_short_0_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_0_boundedInput_short_0_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_0_boundedInput_short_0_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_5_constant_int_0_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_5_constant_int_0_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_5_constant_int_0_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_5_constant_int_0_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_5_constant_int_0_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_5_constant_int_0_aaa.prob3,main,655.048374555,8.51844596613,19,247,1,aaa,obfs
7_2_5_constant_int_0_aaa.prob3,function_1,1076.10472731,9.66291785791,21,322,6,aaa,obfs
7_2_5_constant_int_0_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_5_constant_int_0_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_5_constant_int_0_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_4_boundedAny_int_3_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_4_boundedAny_int_3_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_4_boundedAny_int_3_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_4_boundedAny_int_3_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_4_boundedAny_int_3_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_4_boundedAny_int_3_aaa.prob3,main,655.048374555,8.51844596613,19,247,1,aaa,obfs
7_1_4_boundedAny_int_3_aaa.prob3,function_1,1316.68609522,9.66291785791,29,348,11,aaa,obfs
7_1_4_boundedAny_int_3_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_4_boundedAny_int_3_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_4_boundedAny_int_3_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_0_boundedAny_short_3_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_0_boundedAny_short_3_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_0_boundedAny_short_3_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_0_boundedAny_short_3_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_0_boundedAny_short_3_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_0_boundedAny_short_3_aaa.prob3,main,672.072982629,8.51844596613,19,248,1,aaa,obfs
7_2_0_boundedAny_short_3_aaa.prob3,function_1,2535.5051111,9.66291785791,27,576,12,aaa,obfs
7_2_0_boundedAny_short_3_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_0_boundedAny_short_3_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_0_boundedAny_short_3_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_0_constant_char_2_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_0_constant_char_2_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_0_constant_char_2_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_0_constant_char_2_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_0_constant_char_2_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_0_constant_char_2_aaa.prob3,main,672.072982629,8.51844596613,19,248,1,aaa,obfs
7_2_0_constant_char_2_aaa.prob3,function_1,1538.24169292,9.66291785791,26,359,9,aaa,obfs
7_2_0_constant_char_2_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_0_constant_char_2_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_0_constant_char_2_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_4_boundedAny_long_3_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_4_boundedAny_long_3_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_4_boundedAny_long_3_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_4_boundedAny_long_3_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_4_boundedAny_long_3_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_4_boundedAny_long_3_aaa.prob3,main,647.250127983,8.51844596613,19,243,1,aaa,obfs
7_2_4_boundedAny_long_3_aaa.prob3,function_1,1207.84776772,10.6108064877,29,312,13,aaa,obfs
7_2_4_boundedAny_long_3_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_4_boundedAny_long_3_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_4_boundedAny_long_3_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_0_boundedAny_long_2_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_0_boundedAny_long_2_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_0_boundedAny_long_2_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_0_boundedAny_long_2_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_0_boundedAny_long_2_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_0_boundedAny_long_2_aaa.prob3,main,645.946304517,8.51844596613,19,242,1,aaa,obfs
7_2_0_boundedAny_long_2_aaa.prob3,function_1,1409.70371706,9.66291785791,25,378,6,aaa,obfs
7_2_0_boundedAny_long_2_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_0_boundedAny_long_2_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_0_boundedAny_long_2_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_4_constant_int_3_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_4_constant_int_3_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_4_constant_int_3_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_4_constant_int_3_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_4_constant_int_3_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_4_constant_int_3_aaa.prob3,main,655.048374555,8.51844596613,19,247,1,aaa,obfs
7_1_4_constant_int_3_aaa.prob3,function_1,1249.50632952,9.66291785791,27,336,10,aaa,obfs
7_1_4_constant_int_3_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_4_constant_int_3_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_4_constant_int_3_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_5_boundedAny_short_1_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_5_boundedAny_short_1_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_5_boundedAny_short_1_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
