Flname,FnName,Art,Max,Unq,Len,OT,Class,ObfStat
7_2_4_constant_char_2_addop.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_4_constant_char_2_addop.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_4_constant_char_2_addop.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_4_constant_char_2_addop.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_4_constant_char_2_addop.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_4_constant_char_2_addop.prob3,main,354.243726256,8.51844596613,16,157,1,addop,obfs
7_2_4_constant_char_2_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_4_constant_char_2_addop.prob3,_NONAME1,1377.01864342,40.0,28,385,10,addop,obfs
7_2_4_constant_char_2_addop.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_4_constant_char_2_addop.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_4_boundedInput_char_2_addop.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_4_boundedInput_char_2_addop.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_4_boundedInput_char_2_addop.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_4_boundedInput_char_2_addop.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_4_boundedInput_char_2_addop.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_4_boundedInput_char_2_addop.prob3,main,354.030628846,8.51844596613,16,157,1,addop,obfs
7_1_4_boundedInput_char_2_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_4_boundedInput_char_2_addop.prob3,_NONAME1,1237.05686297,40.0,27,350,9,addop,obfs
7_1_4_boundedInput_char_2_addop.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_4_boundedInput_char_2_addop.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_5_boundedAny_long_2_addop.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_5_boundedAny_long_2_addop.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_5_boundedAny_long_2_addop.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_5_boundedAny_long_2_addop.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_5_boundedAny_long_2_addop.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_5_boundedAny_long_2_addop.prob3,main,335.111213223,8.51844596613,15,154,1,addop,obfs
7_2_5_boundedAny_long_2_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_5_boundedAny_long_2_addop.prob3,_NONAME1,1951.82430247,40.0,29,548,11,addop,obfs
7_2_5_boundedAny_long_2_addop.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_5_boundedAny_long_2_addop.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_0_constant_int_0_addop.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
