Flname,FnName,Art,Max,Unq,Len,OT,Class,ObfStat
7_2_5_boundedInput_long_0_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_5_boundedInput_long_0_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_5_boundedInput_long_0_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_5_boundedInput_long_0_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_5_boundedInput_long_0_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_5_boundedInput_long_0_enca.prob3,function_1,3399.10775101,9.90582011626,26,841,5,enca,obfs
7_2_5_boundedInput_long_0_enca.prob3,main,566.300848272,10.2242250541,24,147,12,enca,obfs
7_2_5_boundedInput_long_0_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_5_boundedInput_long_0_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_5_boundedInput_long_0_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_0_boundedInput_char_2_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_0_boundedInput_char_2_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_0_boundedInput_char_2_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_0_boundedInput_char_2_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_0_boundedInput_char_2_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_0_boundedInput_char_2_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_0_boundedInput_char_2_enca.prob3,function_1,8803.74940194,10.2879114964,27,1652,149,enca,obfs
7_1_0_boundedInput_char_2_enca.prob3,main,677.072982886,10.2242250541,21,157,20,enca,obfs
7_1_0_boundedInput_char_2_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_0_boundedInput_char_2_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_5_constant_long_2_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_5_constant_long_2_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_5_constant_long_2_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_5_constant_long_2_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_5_constant_long_2_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_5_constant_long_2_enca.prob3,function_1,5062.7338732,9.90582011626,26,1160,7,enca,obfs
7_2_5_constant_long_2_enca.prob3,main,635.915844566,12.7381323729,25,152,14,enca,obfs
7_2_5_constant_long_2_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_5_constant_long_2_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_5_constant_long_2_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_4_boundedInput_long_2_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_4_boundedInput_long_2_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_4_boundedInput_long_2_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_4_boundedInput_long_2_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_4_boundedInput_long_2_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_4_boundedInput_long_2_enca.prob3,main,367.498292967,8.70208741777,20,109,2,enca,obfs
7_2_4_boundedInput_long_2_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_4_boundedInput_long_2_enca.prob3,function_1,2847.50685165,9.90582011626,27,661,7,enca,obfs
7_2_4_boundedInput_long_2_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_4_boundedInput_long_2_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_5_constant_short_3_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_5_constant_short_3_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_5_constant_short_3_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_5_constant_short_3_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_5_constant_short_3_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_5_constant_short_3_enca.prob3,function_1,22227.6307179,9.90582011626,27,4048,365,enca,obfs
7_1_5_constant_short_3_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_5_constant_short_3_enca.prob3,main,492.274011522,12.7381323729,19,134,4,enca,obfs
7_1_5_constant_short_3_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_5_constant_short_3_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_5_boundedAny_short_2_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_5_boundedAny_short_2_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_5_boundedAny_short_2_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_5_boundedAny_short_2_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_5_boundedAny_short_2_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_5_boundedAny_short_2_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_5_boundedAny_short_2_enca.prob3,main,567.849591441,10.2242250541,21,143,10,enca,obfs
7_2_5_boundedAny_short_2_enca.prob3,function_1,9376.2905299,10.2879114964,29,1755,154,enca,obfs
7_2_5_boundedAny_short_2_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_5_boundedAny_short_2_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_0_boundedInput_short_3_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_0_boundedInput_short_3_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_0_boundedInput_short_3_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_0_boundedInput_short_3_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_0_boundedInput_short_3_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_0_boundedInput_short_3_enca.prob3,function_1,28294.9662552,9.90582011626,26,5077,424,enca,obfs
7_2_0_boundedInput_short_3_enca.prob3,main,665.971856009,12.7381323729,22,159,13,enca,obfs
7_2_0_boundedInput_short_3_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_0_boundedInput_short_3_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_0_boundedInput_short_3_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_0_constant_int_1_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_0_constant_int_1_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_0_constant_int_1_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_0_constant_int_1_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_0_constant_int_1_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_0_constant_int_1_enca.prob3,main,593.208255272,12.7381323729,23,146,13,enca,obfs
7_2_0_constant_int_1_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_2_0_constant_int_1_enca.prob3,function_1,7230.64036869,9.90582011626,25,1756,51,enca,obfs
7_2_0_constant_int_1_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_2_0_constant_int_1_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_2_0_boundedAny_char_3_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_2_0_boundedAny_char_3_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_2_0_boundedAny_char_3_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_2_0_boundedAny_char_3_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_2_0_boundedAny_char_3_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_2_0_boundedAny_char_3_enca.prob3,main,624.48677117,10.2242250541,21,152,8,enca,obfs
