Flname,FnName,Art,Max,Unq,Len,OT,Class,ObfStat
7_2_0_constant_int_3_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,jmp,obfs
7_2_0_constant_int_3_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,jmp,obfs
7_2_0_constant_int_3_jmp.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,jmp,obfs
7_2_0_constant_int_3_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,jmp,obfs
7_2_0_constant_int_3_jmp.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,jmp,obfs
7_2_0_constant_int_3_jmp.prob3,_NONAME1,3071.48204641,40.0,28,332,64,jmp,obfs
7_2_0_constant_int_3_jmp.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,jmp,obfs
7_2_0_constant_int_3_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,jmp,obfs
7_1_5_boundedAny_char_0_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,jmp,obfs
7_1_5_boundedAny_char_0_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,jmp,obfs
7_1_5_boundedAny_char_0_jmp.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,jmp,obfs
7_1_5_boundedAny_char_0_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,jmp,obfs
7_1_5_boundedAny_char_0_jmp.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,jmp,obfs
7_1_5_boundedAny_char_0_jmp.prob3,_NONAME1,3212.72508105,40.0,22,280,68,jmp,obfs
7_1_5_boundedAny_char_0_jmp.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,jmp,obfs
7_1_5_boundedAny_char_0_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,jmp,obfs
7_1_4_boundedInput_char_2_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,jmp,obfs
7_1_4_boundedInput_char_2_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,jmp,obfs
7_1_4_boundedInput_char_2_jmp.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,jmp,obfs
7_1_4_boundedInput_char_2_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,jmp,obfs
7_1_4_boundedInput_char_2_jmp.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,jmp,obfs
7_1_4_boundedInput_char_2_jmp.prob3,_NONAME1,3486.17532505,40.0,27,347,70,jmp,obfs
7_1_4_boundedInput_char_2_jmp.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,jmp,obfs
7_1_4_boundedInput_char_2_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,jmp,obfs
7_1_5_boundedAny_int_0_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,jmp,obfs
7_1_5_boundedAny_int_0_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,jmp,obfs
7_1_5_boundedAny_int_0_jmp.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,jmp,obfs
7_1_5_boundedAny_int_0_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,jmp,obfs
7_1_5_boundedAny_int_0_jmp.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,jmp,obfs
7_1_5_boundedAny_int_0_jmp.prob3,_NONAME1,3146.47019238,40.0,22,280,69,jmp,obfs
7_1_5_boundedAny_int_0_jmp.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,jmp,obfs
7_1_5_boundedAny_int_0_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,jmp,obfs
7_1_4_constant_long_2_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,jmp,obfs
7_1_4_constant_long_2_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,jmp,obfs
7_1_4_constant_long_2_jmp.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,jmp,obfs
7_1_4_constant_long_2_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,jmp,obfs
7_1_4_constant_long_2_jmp.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,jmp,obfs
7_1_4_constant_long_2_jmp.prob3,_NONAME1,2856.7194595,40.0,26,297,58,jmp,obfs
7_1_4_constant_long_2_jmp.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,jmp,obfs
7_1_4_constant_long_2_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,jmp,obfs
7_1_0_boundedAny_long_3_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,jmp,obfs
7_1_0_boundedAny_long_3_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,jmp,obfs
