Flname,FnName,Art,Max,Unq,Len,OT,Class,ObfStat
chklic_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
chklic_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
chklic_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
chklic_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
chklic_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
chklic_aaa.prob3,main,211.72088057,5.28333779158,12,112,0,norm,norm
chklic_aaa.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,norm,norm
chklic_aaa.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,norm,norm
chklic_aaa.prob3,checklicense,544.489444014,9.66291785791,19,149,3,norm,norm
chklic_aaa.prob3,renewlicense,96.0400509561,6.28110523908,13,23,0,norm,norm
chklic_aaa.prob3,megaInit,25.1427891938,6.11676071692,5,6,0,norm,norm
chklic_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
chklic_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
chklic_encl.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
chklic_encl.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
chklic_encl.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
chklic_encl.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
chklic_encl.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
chklic_encl.prob3,main,37.0313024013,4.59055392957,6,18,0,norm,norm
chklic_encl.prob3,encodeStrings_litStr3_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,encodeStrings_litStr2_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,_1_stringEncoder,1981.86020459,8.1755716809,10,563,1,norm,norm
chklic_encl.prob3,encodeStrings_litStr4_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,norm,norm
chklic_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,checklicense,116.638242869,5.29465271956,11,49,0,norm,norm
chklic_encl.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,norm,norm
chklic_encl.prob3,megaInit,48.2011227457,6.11676071692,5,11,0,norm,norm
chklic_encl.prob3,renewlicense,31.4634127984,6.28110523908,6,10,0,norm,norm
chklic_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
chklic_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_3_constant_long_0_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_3_constant_long_0_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_3_constant_long_0_aaa.prob3,main,645.946304517,8.51844596613,19,242,1,norm,norm
7_1_3_constant_long_0_aaa.prob3,function_1,1072.70901603,9.66291785791,21,322,6,norm,norm
7_1_3_constant_long_0_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
2_1_1_constant_char_2_encl.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
2_1_1_constant_char_2_encl.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
2_1_1_constant_char_2_encl.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
2_1_1_constant_char_2_encl.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
2_1_1_constant_char_2_encl.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr5_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,_1_stringEncoder,1837.45430685,8.1755716809,10,522,1,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr3_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,megaInit,43.5894560353,6.11676071692,5,10,0,norm,norm
2_1_1_constant_char_2_encl.prob3,main,222.20654198,8.51844596613,16,81,1,norm,norm
2_1_1_constant_char_2_encl.prob3,function_1,1168.09794296,8.80976354467,23,276,3,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr2_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr4_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
2_1_1_constant_char_2_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_3_constant_long_0_flat.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_3_constant_long_0_flat.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_3_constant_long_0_flat.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_3_constant_long_0_flat.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_3_constant_long_0_flat.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_3_constant_long_0_flat.prob3,main,308.567705751,7.37811219938,16,106,0,norm,norm
7_1_3_constant_long_0_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_3_constant_long_0_flat.prob3,function_1,857.949080185,7.84798703507,20,280,1,norm,norm
7_1_3_constant_long_0_flat.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_3_constant_long_0_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_3_constant_long_0_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_3_constant_long_0_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_3_constant_long_0_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_3_constant_long_0_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_3_constant_long_0_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_3_constant_long_0_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
