,Flname,FnName,Art,Max,Unq,Len,OT,pred
0,chklic_aaa.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
1,chklic_aaa.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
2,chklic_aaa.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
3,chklic_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
4,chklic_aaa.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
5,chklic_aaa.prob3,main,211.72088057,5.28333779158,12,112,0,norm
6,chklic_aaa.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,norm
7,chklic_aaa.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,norm
8,chklic_aaa.prob3,checklicense,544.489444014,9.66291785791,19,149,3,norm
9,chklic_aaa.prob3,renewlicense,96.0400509561,6.2811052390799995,13,23,0,norm
10,chklic_aaa.prob3,megaInit,25.142789193800002,6.116760716919999,5,6,0,norm
11,chklic_aaa.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
12,chklic_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
13,chklic_encl.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
14,chklic_encl.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
15,chklic_encl.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
16,chklic_encl.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
17,chklic_encl.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
18,chklic_encl.prob3,main,37.0313024013,4.5905539295699995,6,18,0,norm
19,chklic_encl.prob3,encodeStrings_litStr3_i$nit,16.1487824756,6.71292734044,4,4,0,norm
20,chklic_encl.prob3,encodeStrings_litStr2_i$nit,16.1487824756,6.71292734044,4,4,0,norm
21,chklic_encl.prob3,_1_stringEncoder,1981.86020459,8.175571680900001,10,563,1,norm
22,chklic_encl.prob3,encodeStrings_litStr4_i$nit,16.1487824756,6.71292734044,4,4,0,norm
23,chklic_encl.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,norm
24,chklic_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm
25,chklic_encl.prob3,checklicense,116.638242869,5.294652719559999,11,49,0,norm
26,chklic_encl.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,norm
27,chklic_encl.prob3,megaInit,48.2011227457,6.116760716919999,5,11,0,norm
28,chklic_encl.prob3,renewlicense,31.4634127984,6.2811052390799995,6,10,0,norm
29,chklic_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm
30,chklic_encl.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
31,chklic_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
32,7_1_3_constant_long_0_aaa.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
33,7_1_3_constant_long_0_aaa.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
34,7_1_3_constant_long_0_aaa.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
35,7_1_3_constant_long_0_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
36,7_1_3_constant_long_0_aaa.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
37,7_1_3_constant_long_0_aaa.prob3,main,645.9463045169999,8.51844596613,19,242,1,obfs
38,7_1_3_constant_long_0_aaa.prob3,function_1,1072.70901603,9.66291785791,21,322,6,obfs
39,7_1_3_constant_long_0_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
40,7_1_3_constant_long_0_aaa.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
41,7_1_3_constant_long_0_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
42,2_1_1_constant_char_2_encl.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
43,2_1_1_constant_char_2_encl.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
44,2_1_1_constant_char_2_encl.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
45,2_1_1_constant_char_2_encl.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
46,2_1_1_constant_char_2_encl.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
47,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm
48,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr5_i$nit,16.1487824756,6.71292734044,4,4,0,norm
49,2_1_1_constant_char_2_encl.prob3,_1_stringEncoder,1837.45430685,8.175571680900001,10,522,1,norm
50,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm
51,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr3_i$nit,16.1487824756,6.71292734044,4,4,0,norm
52,2_1_1_constant_char_2_encl.prob3,megaInit,43.589456035299996,6.116760716919999,5,10,0,norm
53,2_1_1_constant_char_2_encl.prob3,main,222.20654198,8.51844596613,16,81,1,obfs
54,2_1_1_constant_char_2_encl.prob3,function_1,1168.09794296,8.80976354467,23,276,3,obfs
55,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr2_i$nit,16.1487824756,6.71292734044,4,4,0,norm
56,2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr4_i$nit,16.1487824756,6.71292734044,4,4,0,norm
57,2_1_1_constant_char_2_encl.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
58,2_1_1_constant_char_2_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
59,7_1_3_constant_long_0_flat.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
60,7_1_3_constant_long_0_flat.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
61,7_1_3_constant_long_0_flat.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
62,7_1_3_constant_long_0_flat.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
63,7_1_3_constant_long_0_flat.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
64,7_1_3_constant_long_0_flat.prob3,main,308.567705751,7.378112199380001,16,106,0,obfs
65,7_1_3_constant_long_0_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
66,7_1_3_constant_long_0_flat.prob3,function_1,857.949080185,7.84798703507,20,280,1,obfs
67,7_1_3_constant_long_0_flat.prob3,__libc_csu_init,122.31733991200001,7.17400789981,15,34,0,norm
68,7_1_3_constant_long_0_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm
69,7_1_3_constant_long_0_enca.prob3,_start,43.120383114300004,4.37618793455,7,12,0,norm
70,7_1_3_constant_long_0_enca.prob3,deregister_tm_clones,57.7995731395,5.3352486813199995,10,14,0,norm
71,7_1_3_constant_long_0_enca.prob3,register_tm_clones,83.9259915948,7.504722643969999,11,18,1,norm
72,7_1_3_constant_long_0_enca.prob3,__do_global_dtors_aux,42.7050707954,8.454571487639999,7,8,2,norm
73,7_1_3_constant_long_0_enca.prob3,frame_dummy,52.870806292,8.027430968200001,9,12,1,norm
74,7_1_3_constant_long_0_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm
75,7_1_3_constant_long_0_enca.prob3,function_1,4253.16921053,9.905820116260001,23,1073,7,obfs
76,7_1_3_constant_long_0_enca.prob3,main,406.935168346,8.702087417769999,19,121,2,obfs
